Sample,Accelerometer Angle (Deg),Gyroscope Angle (Deg),Complementary Angle (Deg)
8,-0.86,3.0,-0.3
9,-0.93,2.61,-0.93
10,-5.37,1.19,-3.02
11,-7.07,0.48,-5.0
12,-5.93,0.64,-5.44
13,-4.76,1.99,-5.32
14,7.01,7.94,2.82
15,22.14,13.07,13.32
16,24.53,14.82,19.25
17,27.76,16.09,26.51
18,30.94,17.51,29.01
19,34.74,18.97,32.1
20,37.56,20.22,34.61
21,41.34,21.49,37.64
22,41.62,21.28,39.98
23,27.13,16.71,34.38
24,21.63,12.36,26.69
25,11.2,9.06,18.98
26,6.99,7.65,14.6
27,3.16,7.59,13.98
28,5.36,6.25,6.64
29,5.63,5.77,5.99
30,0.89,4.02,3.35
31,-2.73,2.69,0.2
32,-2.13,2.69,-0.59
